"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sivir","ADC",13,"16.3%","20.0%","36.3%","38%","46%",45,35,83,3.7,"70.7%","17.9%","23%",-111,-216,-6.5,9.6,"31.2%",804,"30.4%","25.2%",0.42,0.31
"Skarner","Jungle",4,"5.0%","1.3%","6.3%","0%","0%",6,15,23,1.9,"87.9%","17.6%","0%",33,4,-2.3,6.3,"18.1%",465,"19.4%","19.7%",0.31,0.27
"Smolder","ADC",1,"1.3%","2.5%","6.3%","0%","100%",2,2,3,2.5,"83.3%","10.5%","100%",452,162,11,10.9,"36.5%",815,"40.8%","28.8%",0.59,0.19
"Smolder","Middle",2,"2.5%","2.5%","6.3%","50%","100%",13,9,13,2.9,"78.8%","18.8%","0%",101,-42,13,8.8,"28.3%",1011,"35.0%","28.4%",0.45,0.21
"Soraka","Support",1,"1.3%","0.0%","1.3%","0%","100%",0,2,2,1,"66.7%","13.3%","0%",63,285,5,0.9,"1.1%",191,"5.8%","7.7%",1.55,0.16
"Swain","Middle",1,"1.3%","0.0%","1.3%","0%","100%",3,5,5,1.6,"80.0%","23.8%","0%",69,-309,1,8.1,"24.6%",653,"28.5%","26.0%",0.48,0.11
"Sylas","Middle",4,"5.0%","2.5%","7.5%","0%","75%",9,16,17,1.6,"56.5%","19.8%","0%",-268,-475,-8.3,8.3,"26.3%",519,"22.5%","21.9%",0.25,0.3
"Syndra","Middle",3,"3.8%","1.3%","5.0%","33%","100%",11,8,22,4.1,"73.3%","22.2%","67%",107,-105,1,8,"24.7%",631,"26.3%","22.2%",0.35,0.22
"Tahm Kench","Support",1,"1.3%","0.0%","1.3%","0%","100%",0,4,6,1.5,"75.0%","23.5%","100%",-205,-425,-2,0.9,"0.9%",193,"8.2%","8.3%",1.65,0.13
"Taliyah","Middle",22,"27.5%","22.5%","50.0%","50%","55%",64,56,187,4.5,"72.3%","17.6%","23%",-127,-89,-2.4,8.8,"26.6%",700,"25.8%","23.1%",0.48,0.22
"Thresh","Support",1,"1.3%","0.0%","1.3%","0%","100%",0,3,2,0.7,"50.0%","21.4%","0%",-58,-556,-1,0.9,"0.7%",76,"5.0%","8.6%",1.57,0.2
"Tristana","-",0,"0%","2.5%","2.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Trundle","Jungle",17,"21.3%","15.0%","36.3%","59%","47%",51,34,131,5.4,"77.4%","16.6%","35%",-135,-162,-2.5,6.7,"20.1%",403,"14.6%","20.3%",0.35,0.5
"Twisted Fate","-",0,"0%","1.3%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Varus","ADC",13,"16.3%","3.8%","20.0%","77%","38%",61,24,106,7,"70.5%","14.7%","15%",-44,-123,2.1,9.1,"28.0%",942,"31.2%","24.3%",0.47,0.37
"Vayne","ADC",2,"2.5%","0.0%","2.5%","50%","100%",15,5,17,6.4,"76.2%","20.8%","100%",-154,175,-6,8.9,"28.9%",836,"26.7%","26.8%",0.35,0.43
"Vex","-",0,"0%","1.3%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Vi","Jungle",16,"20.0%","21.3%","41.3%","31%","44%",54,54,85,2.6,"68.5%","20.5%","25%",28,47,-2.2,6.7,"19.5%",319,"12.6%","20.4%",0.37,0.38
"Viego","Jungle",2,"2.5%","0.0%","2.5%","50%","100%",13,6,10,3.8,"71.9%","17.1%","0%",-394,-388,-2.5,7.6,"24.4%",528,"15.6%","23.4%",0.34,0.46
"Viktor","Middle",7,"8.8%","2.5%","11.3%","57%","43%",28,13,42,5.4,"65.4%","15.9%","29%",-20,159,2.1,8.8,"24.7%",931,"32.0%","23.7%",0.48,0.2
"Volibear","-",0,"0%","1.3%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Wukong","Jungle",21,"26.3%","35.0%","61.3%","57%","14%",81,60,152,3.9,"65.6%","19.5%","24%",81,53,1.7,7.1,"21.2%",428,"14.8%","20.4%",0.34,0.4
"Xayah","ADC",11,"13.8%","10.0%","23.8%","55%","73%",43,25,69,4.5,"64.0%","15.7%","36%",-39,162,2.3,9.4,"31.3%",742,"26.8%","25.1%",0.42,0.37
"Xin Zhao","Jungle",28,"35.0%","10.0%","45.0%","61%","71%",82,86,220,3.5,"65.7%","22.6%","25%",-188,-132,-2.9,6.8,"20.4%",449,"16.1%","19.6%",0.34,0.36
"Yone","Middle",5,"6.3%","11.3%","17.5%","80%","100%",30,8,38,8.5,"73.1%","11.6%","80%",197,247,0.6,9,"28.6%",711,"23.9%","25.8%",0.42,0.26
"Yorick","Top",3,"3.8%","7.5%","11.3%","0%","33%",3,15,10,0.9,"68.4%","27.3%","0%",-77,4,6,6.9,"21.2%",609,"27.0%","22.0%",0.42,0.21
"Yunara","ADC",15,"18.8%","70.0%","88.8%","67%","7%",77,40,119,4.9,"72.3%","20.4%","20%",-29,-78,-0.9,9.2,"30.3%",780,"27.2%","26.1%",0.45,0.36
"Zed","Jungle",1,"1.3%","0.0%","1.3%","0%","100%",2,3,4,2,"85.7%","16.7%","100%",334,411,8,7.2,"19.4%",575,"22.3%","23.0%",0.34,0.27
"Zeri","ADC",1,"1.3%","1.3%","2.5%","100%","100%",11,1,10,21,"87.5%","14.3%","0%",354,-888,-10,9.5,"23.1%",981,"31.4%","26.8%",0.41,0.41
"Ziggs","ADC",7,"8.8%","8.8%","20.0%","43%","57%",30,22,52,3.7,"68.9%","19.1%","0%",92,313,-1.3,8.4,"26.3%",873,"31.4%","23.0%",0.52,0.2
"Ziggs","Middle",2,"2.5%","8.8%","20.0%","100%","100%",10,3,16,8.7,"66.7%","18.8%","0%",208,-25,3,9.4,"28.6%",919,"34.1%","24.7%",0.4,0.17
"Zoe","Middle",1,"1.3%","2.5%","3.8%","100%","0%",6,1,13,19,"82.6%","8.3%","100%",594,650,2,8.2,"24.9%",943,"25.9%","26.0%",0.58,0.2
